Metadata_Plate,Metadata_Site,Metadata_Well,Metadata_Well_Value,FileName_Phalloidin,FileName_CHN2-AF488,FileName_DNA
Plate1,0,B1,B1,Plate_Plate1_Well_B1_Site_0_CorrPhalloidin.tiff,Plate_Plate1_Well_B1_Site_0_CorrCHN2-AF488.tiff,Plate_Plate1_Well_B1_Site_0_CorrDNA.tiff
Plate1,3,B1,B1,Plate_Plate1_Well_B1_Site_3_CorrPhalloidin.tiff,Plate_Plate1_Well_B1_Site_3_CorrCHN2-AF488.tiff,Plate_Plate1_Well_B1_Site_3_CorrDNA.tiff
